aanbevelen|recommend
aanbeveling|recommendation
aanbevolen|recommended
aanbiedingen|ad
aandacht|attention
aandacht besteden|pay attention to
aandachtig luisteren|listen carefully
aandoen|put on, turn on
aangekomen|arrived
aangeven|indicate, suggest
aankomen|arrive, get (somewhere)
aankomen|to finish
aankomst|finish
aanleren|teach
aan|to, at
aap|monkey
aarde|earth
acht|eight
achter|behind
achtervolging|pursuit
achtste|eighth
achttien|eighteen
adres|address
advertentie|advert
af en toe|now and again
af en toe|now and then
afgelopen|passed
afspraak|appointment
agent|policeman
agentschap|agency
airshow|airshow
akkoord gaan|agree
al|already
alarm|alarm
alhoewel|although
allebei|both
alleen|alone, only
allemaal|all
alles|everything
als|as
als het ware|as it were
als|like
als, sinds|as, since
alstublieft, alsjeblieft, aub|please
alstublieft|please
altijd|always
Amerikaans|American
andere|other
ander|other
anders|else
anders|otherwise
antwoordde|answered
antwoorden|answer
antwordapparaat|answering machine
apotheek|pharmacy
arbeider|worker
arm|arm
arm|arm, poor
arm|poor
artiest|artist
aspirine|aspirin
asterisk|asterisk
auto/auto's|car
auto|car
avondeten|evening meal
avond|evening
avontuur|adventure
baan|job
bad|bath
badkamer|bathroom
badkamertafel|bathroom table
bang|afraid
bank|bank
bedanken|thanks
bedanken|to thank
bedankt|thank you, thanks
bed|bed
bedden|beds
bediende|servant
bedienen|serve
bedoelde|meant
bedoel je|do you mean
been|leg
begeleiden|accompanied, accompany
beginnen|begin
begreep|understood
begrepen|understood
begrijpen|understand
behuizen|to give housing to
bekend|famous, well known; familiar
bekijken|look
bekijken|to observe
bekomen|get
bekwaamheid|skill
belanden|to end up
belangrijk|important
bellen|call
bellen, rinkelen|rang
bellen, rinkelen|to ring
beloven|to promise
bel|ring
bepraten|to talk into
beroep|profession
beschermen|protect
beslist|definately
betaalde|paid
betalen|pay
betalen|to pay
beter|better
bevel|order
bevriezen|freeze
bevrijden|set free
bewerken|to work on
bewoog|moved
bewusteloos|unconscious
bezig|busy
bezighoudt|engages
bezocht|visited
bezoek|visit
bezuinigen|to cut back, economize
bieptoon|beep
bij|at
bij|by
bijna|almost
bijten|bite
bijvoorbeeld|for example
bijzonder|especially, special
biljoen|trillion
binnen|inside
binnenkort|soon
blad|sheet (of paper)
blaffen|barked
blauw|blue
bleek|pale
blijf kijken|stay tuned
blijven|remain
bloem|flower
bloes|blouse
blond|blond
boek|book
boekenkast|bookcase
boerderij|farm
boer|farmer
bord|plate
boter|butter
boterham|sandwich
bovendien|moreover, what is more
boven, over|over, across
brengen|bring
brief|letter
broek|pants
broek|trousers
broer|brother
brood|bread
broodje|sandwich
brug|bridge
buik|belly
buitenaards, alien|alien
buiten gebruik|out of order
buiten|outdoors
burgerlijke staat|family status
bus|bus
buur|neighbor
cadeau|gift
cafe|cafe
callcenter|call centre
Canada|Canada
Canadees|Canadian
CD-speler|CD player
centrum|centre
ceremonie|ceremony
chauffeur|driver
chemicalien|chemicals
chemie|chemistry
chemisch|chemical (adj)
club|club
collega|colleague
competitie|competition
computer|computer
constant|constant
consultancy|consultancy
consultant|consultant
consulteren|consult
controle|control
controleren|check
co-ordinatie|co-ordination
correct|correct, correctly
corrigeren|to correct
creatief|creative
crimineel|criminal
cursus|course
daadwerkelijk|actual, real
daar, er|there
daarna|afterwards
daarom|that's why
daar|there
daar|there, over there
dag, bye|bye
dag|day
dagelijks|daily
dag|hello, goodbye
dak|roof
dank je wel|thank you
dansen|dance
dansend|dancing
dan|than
dan|than, then
dan|then
das|tie
dat, die|that
dat, die|that (conj)
dat|that
datum|date
de bus nemen|go by bus
deed|did
deelnemen|take part
deelnemer|participant
deel|part
De film duurt langer dan drie uur.|The movie lasts more than three hours.
denken|think
denkwerk|mental work
derde|third
dertien|thirteen
dertig|thirty
design|design
de|the
deur|door
de Verenigde Staten/de VS|the United States/the USA
deze, die|these, those
deze dingen|this stuff
dichtbij|close, near, nearby, next
dichtbij|close to
dicht|close
dichter|closer
dichtst|nearest
dief|robber, thief
dier|animal
dierenarts|vet
dierentuin|zoo
dieven|thieves
dik|fat
ding|thing
dit boek|this book
dit, deze|this
dochter|daughter
dodelijk|deadly
doen alsof|pretend
doen|do
doen|to do
dokter|doctor
dom|silly
donker|dark
door|by
door|through
doos|box
dorp|village
draaien|turn
dragen|carry
dragen|to wear
drie|three
drijven|float
drinken|drink
drinken|to drink
drogen|to dry
dromen|to dream
droog|dry (adj)
droom|dream
druk|busy
drukken|press
dubbelzinnige|ambiguous
duer|door
duidelijk|OK, well
Duits|German
duizend|thousand
dun|thin
duren|last, take
duren|to last, to take
dus|so
Dutch|English
duur|expensive
duwen|push
echt erg|really bad
echt|for real, really
echt|real
een andere|another
een|a, one
eenentwintig|twenty-one
een jaar geleden|a year ago
eenmaal|once
een|one
een paar|a few
een paar|some
een per een|one by one
een van jullie|either of you
een voor een|one by one
eenvoudig|just
eerst|first
eigenaar|owner
eigenlijk|actually, really
eigen|own
einde/eindes|end
elektrisch|electric
elf|eleven
elkaar|each other
elkaar kennen|know each other
elk|each, every
elke|every
elk geval|anyway, at any rate
emmer|pail
en|and
energie|energy
enig|only, single
enkele|any, some
enkel|only
envaring|experience
en zo|and the like
erg|very
erg vinden|to mind
ernstig|seriously
er|there
eten|eat
eten|to eat
even serieus|seriously
excuseer me|Excuse me
familie|family
favoriete|favourite
favoriete film|favourite film
fiets|bike
figuur|figure
film|film
financien|finance
firma|company, firm
firma|firm
firmas|firms
formulier| form
fornuis|cooker
fotograaf|photographer
fotograferen|photograph
foto|picture
fout, verkeerd|incorrectly
gaan|go, walk
gaan|to go
gaan|to head, to go
gaan zitten|take a seat
gappig|funny
garanderen|guarantee
gastfamilie|the host family
gast|guest
gastheer|host
gebeuren|happen
gebeurt|happened
gebruiken|use
gedanst|danced
gedood|killed
gedraaid|turned
geeft niet|never mind
geel|yellow
geen dank|don't mention it
geen|not a
gegoed|well off
gehaast|rushed
geheim|secret, secretly
gekleed|dressed
gekleed gaan|to be dressed
gek zijn op|to be crazy about
geld|money
geld|money, cash
geleden|ago
geloven|believe
geloven|believe, think
geluk|happiness
gelukkig|fortunately, happpy
gelukkig|glad, happy
genezen, behandelen|rehabilitate
genezing, behandeling|rehabilitation
genieten|enjoy
genoeg|enough
genomen|taken
geopend|opened
geschat|estimated
geslacht|sex
gesloten|closed
gestolen|stolen
gestopt|stopped
getekend|signed
getraind|trained
gevaarlijk|dangerous
geval|case, instance
gevallen|cases
geven|give, hand
geven|to give, to hand
gevoel|feeling
gevonden|found
gevraagd|asked
gevuld|stuffed
geweer|gun
gewerkt|worked
gewild|wanted
gewoonlijk|usual
gewoonlijk|usually
gezellig|pleasant
gezicht|face
gezonden|sent
gezond|healthy
gezondheid|health
gieten|pour
gisteren|yesterday
glas|glass
goedemorgen|good morning
goedenacht|good night
goedenavond|good evening
goed|fine, good, well
goed|good
goed|good, well
goedzo|well done
golf|wave
gordel|seat belts
